A view of how changes on the work wi Table of Contents Overview .................................................................................................;N
 1.;N
Introduction...........................................................................................................;N
 Part 1: Key Trends of Future Work ........................................................;N
 2.;N
Increasing automation will impact your life ............................................;N
2.1.;N
Will we need policies to regulate advanced AI and Robots?;N
.......;N
2.2.;N
How Internet of Things (IoT) will impact us?;N
...................................;N
3.;N
Employment will be continuously changing ............................................;N
3.1.;N
My career no longer exists.;N
What should I do now?........................;N
3.2.;N
Will the globalized work overcome local work?;N
..............................;N
3.3.;N
Will I have to work here all day long?;N
.................................................;N
3.4.;N
How about my labor rights?;N
....................................................................;N
3.5.;N
Will trade unions lose their importance?;N
...........................................;N
4.;N
Education will need to be updated...............................................................;N
4.1.;N
Do we need new skills?;N
..............................................................................;N
4.2.;N
How will knowledge-intensive work change the Education?;N
......;N
4.3.;N
Will self-employment save the world?;N
.................................................;N
4.4.;N
Will everyone receive Advanced Education and Training?..........;N
5.;N
We are slowly moving to a social welfare state ......................................;N
5.1.;N
Will we have to change our definition of old?...................................;N
5.2.;N
Are we entering in the equality era?;N
....................................................;N
5.3.;N
Is Universal Basic Income a solution?;N
..................................................;N
6.;N
The economy will grow faster ........................................................................;N
6.1.;N
Is Knowledge the key?................................................................................;N
6.2.;N
Will Automation destroy or enhance the Economy?;N
......................;N
6.3.;N
Will the Advances in technology increase inequality?;N
...................;N
 Part 2: A view of Future Work in 2050 ...................................................;N
 7.;N
Optimistic Scenario.............................................................................................;N
7.1.;N
Automation....................................................................................................;N
7.2.;N
Employment ..................................................................................................;N
7.3.;N
Education .......................................................................................................;N
7.4.;N
Social Welfare...............................................................................................;N
 OVERVIEW In this chapter we present the aim of this report.;N
 Introduction OVERVIEW 1.;N
INTRODUCTION Work has changed and it is changing, this could have been said at any time in history.;N
The very meaning of the word “work” is multiple and changed throughout time.;N
Etymologically, its origins go back to the Latin word tripalium which means a torture device [1].;N
In the Greek society, only slaves or second-class citizens used to work as it was mainly a physical activity considered undesirable by the upper-class people [2].;N
Work remained as an activity reserved for the unfortunate on the medieval ages as it was considered something terrible by the Catholic Church and the nobles [3].;N
The ethics of the religious denominations that derived from the Protestant Reformation went in direct opposition with the Catholic perspective of work by viewing it as a mean to salvation [4].;N
This change in the meaning of work was extremely important for the Industrial Revolution that was to follow for it provided the cultural and moral justification to keep people working for at least 16 hours per day.;N
The industrial revolutions deserve special consideration in the history of work as they represent “profound changes in the nd During the 2 In when electricity was production, work has a [5].;N
The characteristics o were further intensifie entrepreneurs such as the scientific administra and Ford that sough division and specializa creation of the produc electrification of prod machines substituted done by the people.;N
